Year,Baseline
2000,369.84
2001,371.54
2002,373.26
2003,375.1
2004,377.06
2005,379.12
2006,381.28
2007,383.53
2008,385.84
2009,388.12
2010,390.42
2011,392.89
2012,395.44
2013,398.03
2014,400.64
2015,403.25
2016,405.86
2017,408.49
2018,411.18
2019,413.92
2020,416.58
2021,419.18
2022,421.91
2023,424.61
2024,427.23
2025,429.81
2026,432.36
2027,434.89
2028,437.4
2029,439.91
2030,442.4
2031,444.88
2032,447.36
2033,449.83
2034,452.3
2035,454.76
2036,457.23
2037,459.69
2038,462.15
2039,464.61
2040,467.07
2041,469.53
2042,471.99
2043,474.44
2044,476.89
2045,479.34
2046,481.79
2047,484.24
2048,486.7
2049,489.16
2050,491.62
2051,494.1
2052,496.57
2053,499.05
2054,501.54
2055,504.03
2056,506.52
2057,509.02
2058,511.52
2059,514.02
2060,516.53
2061,519.04
2062,521.56
2063,524.08
2064,526.6
2065,529.14
2066,531.67
2067,534.22
2068,536.76
2069,539.32
2070,541.88
2071,544.45
2072,547.02
2073,549.59
2074,552.17
2075,554.76
2076,557.35
2077,559.95
2078,562.56
2079,565.17
2080,567.79
2081,570.42
2082,573.05
2083,575.69
2084,578.33
2085,580.97
2086,583.61
2087,586.26
2088,588.91
2089,591.57
2090,594.22
2091,596.88
2092,599.54
2093,602.2
2094,604.85
2095,607.51
2096,610.16
2097,612.82
2098,615.47
2099,618.11
2100,620.76
